hex,count_good_aircraft,count_bad_aircraft
8400521ffffffff,1,0
8400523ffffffff,1,0
8400e91ffffffff,1,0
8400e97ffffffff,1,0
8400e9dffffffff,1,0
8400ec3ffffffff,1,0
8400ec9ffffffff,1,0
8400ecbffffffff,1,0
8400ed5ffffffff,1,0
8400ed7ffffffff,1,0
8401219ffffffff,1,0
840121bffffffff,1,0
840124bffffffff,3,0
8401255ffffffff,1,0
840125bffffffff,1,0
840125dffffffff,1,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,5,0
84012cdffffffff,1,0
8401351ffffffff,8,0
8401355ffffffff,3,0
8401359ffffffff,6,1
840135bffffffff,1,0
840135dffffffff,6,0
84016e1ffffffff,1,0
8403241ffffffff,1,0
8403247ffffffff,1,0
840324bffffffff,1,0
8403263ffffffff,1,0
840326bffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,8,0
8406289ffffffff,3,0
840628bffffffff,6,0
840628dffffffff,1,0
8406291ffffffff,3,0
8406293ffffffff,4,0
8406295ffffffff,2,0
8406297ffffffff,3,0
8406299ffffffff,5,0
840629bffffffff,7,0
840629dffffffff,9,0
84062b1ffffffff,1,0
84062b9ffffffff,11,0
84062bbffffffff,1,0
84062c1ffffffff,2,0
84062c3ffffffff,15,0
84062c7ffffffff,2,0
84062cbffffffff,14,0
84062d1ffffffff,6,0
84062d3ffffffff,10,0
84062d5ffffffff,6,0
84062d7ffffffff,9,0
84062d9ffffffff,5,0
84062dbffffffff,8,0
84062ddffffffff,2,0
8406601ffffffff,15,0
8406603ffffffff,6,0
8406605ffffffff,9,0
8406607ffffffff,10,0
8406609ffffffff,10,0
840660bffffffff,11,0
840660dffffffff,8,0
8406615ffffffff,4,0
840661dffffffff,4,0
8406621ffffffff,17,0
8406625ffffffff,13,0
8406627ffffffff,11,0
8406629ffffffff,12,0
840662bffffffff,9,0
840662dffffffff,20,0
8406631ffffffff,1,0
8406639ffffffff,1,0
840663dffffffff,4,0
8406641ffffffff,9,0
8406643ffffffff,6,0
8406645ffffffff,11,0
8406647ffffffff,6,0
8406649ffffffff,7,0
840664bffffffff,3,0
840664dffffffff,10,0
8406655ffffffff,1,0
8406661ffffffff,21,0
8406663ffffffff,14,0
8406665ffffffff,19,0
8406667ffffffff,20,0
8406669ffffffff,13,0
840666bffffffff,15,0
840666dffffffff,26,0
8406703ffffffff,5,0
840670bffffffff,3,0
8406711ffffffff,1,0
8406715ffffffff,12,0
8406719ffffffff,1,0
840671dffffffff,36,0
8406741ffffffff,1,0
8406743ffffffff,3,0
8406749ffffffff,4,0
840674bffffffff,4,0
8406751ffffffff,38,0
8406753ffffffff,4,0
8406755ffffffff,5,0
8406757ffffffff,40,0
8406759ffffffff,39,0
840675bffffffff,6,0
840675dffffffff,7,0
8406c31ffffffff,12,0
8406c33ffffffff,1,0
8406c35ffffffff,4,0
8406c37ffffffff,11,0
8406c81ffffffff,1,0
8406c83ffffffff,22,0
8406c85ffffffff,30,0
8406c87ffffffff,2,0
8406c8dffffffff,3,0
8406c93ffffffff,7,0
8406c95ffffffff,26,0
8406c9dffffffff,16,0
8406ca1ffffffff,19,0
8406ca3ffffffff,11,0
8406ca5ffffffff,13,0
8406ca7ffffffff,8,0
8406ca9ffffffff,13,0
8406cabffffffff,19,0
8406cadffffffff,3,0
8406cb1ffffffff,22,0
8406cb3ffffffff,17,0
8406cb5ffffffff,9,0
8406cb7ffffffff,13,0
8406cb9ffffffff,30,0
8406cbbffffffff,26,0
8406cbdffffffff,2,0
8406ce1ffffffff,11,0
8406ce5ffffffff,12,0
8406ce7ffffffff,2,0
8406ce9ffffffff,3,0
8406cedffffffff,1,0
8406d81ffffffff,8,0
8406d83ffffffff,9,0
8406d85ffffffff,4,0
8406d87ffffffff,9,0
8406d89ffffffff,9,0
8406d8bffffffff,11,0
8406d8dffffffff,1,0
8406d91ffffffff,12,0
8406d93ffffffff,3,0
8406d95ffffffff,5,0
8406d97ffffffff,9,0
8406d99ffffffff,4,0
8406d9bffffffff,12,0
8406d9dffffffff,6,0
8406da3ffffffff,2,0
8406da5ffffffff,2,0
8406da9ffffffff,4,0
8406dabffffffff,3,0
8406dadffffffff,3,0
8406db1ffffffff,8,0
8406db5ffffffff,1,0
8406db7ffffffff,8,0
8406db9ffffffff,2,0
8406dbbffffffff,6,0
8406dbdffffffff,8,0
8406dc1ffffffff,1,0
8406dc3ffffffff,6,0
8406dc7ffffffff,2,0
8406dc9ffffffff,2,0
8406dcbffffffff,17,0
8406dd1ffffffff,14,0
8406dd3ffffffff,4,0
8406dd5ffffffff,4,0
8406dd7ffffffff,11,0
8406dd9ffffffff,6,0
8406ddbffffffff,14,0
8406dddffffffff,13,0
8406de3ffffffff,2,0
8407401ffffffff,16,0
8407403ffffffff,10,0
8407405ffffffff,11,0
8407407ffffffff,6,0
8407409ffffffff,13,0
840740bffffffff,10,0
840740dffffffff,14,0
8407411ffffffff,45,0
8407413ffffffff,41,0
8407415ffffffff,52,0
8407417ffffffff,45,0
8407419ffffffff,35,0
840741bffffffff,38,0
840741dffffffff,37,0
8407421ffffffff,3,0
8407423ffffffff,14,0
8407427ffffffff,10,0
8407429ffffffff,6,0
840742bffffffff,17,0
840742dffffffff,8,0
8407431ffffffff,38,0
8407433ffffffff,56,0
