hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,2,0
8401047ffffffff,2,0
8401049ffffffff,1,0
840104dffffffff,1,0
8401059ffffffff,5,0
840105bffffffff,3,0
840105dffffffff,2,0
8401069ffffffff,2,0
840106bffffffff,2,0
8401201ffffffff,3,0
8401205ffffffff,2,0
8401207ffffffff,3,0
840120dffffffff,4,0
8401219ffffffff,1,0
840121bffffffff,1,0
8401221ffffffff,5,0
8401223ffffffff,3,0
8401225ffffffff,6,0
8401227ffffffff,5,0
8401229ffffffff,1,0
840122bffffffff,6,0
840122dffffffff,1,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401235ffffffff,1,0
8401237ffffffff,1,0
8401239ffffffff,3,0
840123bffffffff,1,0
8401241ffffffff,4,0
8401243ffffffff,2,0
8401245ffffffff,5,2
8401247ffffffff,6,2
840124bffffffff,2,0
840124dffffffff,3,0
8401255ffffffff,1,0
8401257ffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,4,0
8401263ffffffff,4,0
8401265ffffffff,3,0
8401267ffffffff,4,1
8401269ffffffff,4,1
840126bffffffff,3,0
840126dffffffff,3,1
84012c1ffffffff,2,0
84012c3ffffffff,2,0
84012c5ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,4,0
84012cdffffffff,1,0
84012edffffffff,1,0
8401301ffffffff,1,1
8401303ffffffff,2,1
840130bffffffff,3,0
8401311ffffffff,1,0
8401315ffffffff,2,0
8401317ffffffff,2,0
8401319ffffffff,4,0
840131bffffffff,1,0
840131dffffffff,1,0
8401343ffffffff,1,0
8401351ffffffff,7,1
8401353ffffffff,4,0
8401355ffffffff,3,0
8401357ffffffff,4,0
8401359ffffffff,5,1
840135bffffffff,4,0
840135dffffffff,8,2
8401369ffffffff,1,0
8406289ffffffff,8,0
8406291ffffffff,1,0
8406293ffffffff,3,0
8406299ffffffff,3,0
840629bffffffff,4,0
840629dffffffff,4,0
84062c1ffffffff,1,0
84062c3ffffffff,2,0
84062cbffffffff,2,0
84062d1ffffffff,8,0
84062d3ffffffff,7,0
84062d5ffffffff,15,0
84062d7ffffffff,6,0
84062d9ffffffff,14,0
84062dbffffffff,6,0
84062ddffffffff,6,0
8406601ffffffff,5,0
8406605ffffffff,10,0
8406607ffffffff,3,0
8406609ffffffff,21,0
840660dffffffff,12,0
8406621ffffffff,19,0
8406625ffffffff,5,0
8406627ffffffff,3,0
8406629ffffffff,18,0
840662bffffffff,8,0
840662dffffffff,21,0
840663dffffffff,3,0
8406641ffffffff,7,0
8406643ffffffff,8,0
8406645ffffffff,14,0
8406647ffffffff,10,0
8406649ffffffff,2,0
840664bffffffff,5,0
840664dffffffff,24,0
8406661ffffffff,29,0
8406663ffffffff,16,0
8406665ffffffff,14,0
8406667ffffffff,15,0
8406669ffffffff,29,0
840666bffffffff,16,0
840666dffffffff,20,0
8406703ffffffff,9,0
8406709ffffffff,1,0
840670bffffffff,4,0
8406715ffffffff,3,0
840671dffffffff,25,0
8406741ffffffff,1,0
8406743ffffffff,8,0
8406749ffffffff,1,0
840674bffffffff,11,0
8406751ffffffff,32,0
8406753ffffffff,3,0
8406755ffffffff,5,0
8406757ffffffff,34,0
8406759ffffffff,26,0
840675bffffffff,12,0
840675dffffffff,8,0
8406c31ffffffff,3,0
8406c37ffffffff,2,0
8406c81ffffffff,1,0
8406c83ffffffff,17,0
8406c85ffffffff,28,0
8406c87ffffffff,1,0
8406c8dffffffff,10,0
8406c95ffffffff,18,0
8406c9dffffffff,14,0
8406ca1ffffffff,25,0
8406ca3ffffffff,4,0
8406ca5ffffffff,14,0
8406ca7ffffffff,13,0
8406ca9ffffffff,14,0
8406cabffffffff,17,0
8406cadffffffff,2,0
8406cb1ffffffff,21,0
8406cb3ffffffff,8,0
8406cb5ffffffff,4,0
8406cb7ffffffff,16,0
8406cb9ffffffff,20,0
8406cbbffffffff,16,0
8406cbdffffffff,2,0
8406ce1ffffffff,17,0
8406ce5ffffffff,17,0
8406ce7ffffffff,2,0
8406cedffffffff,1,0
8406d81ffffffff,6,0
8406d83ffffffff,11,0
8406d85ffffffff,7,0
8406d87ffffffff,10,0
8406d89ffffffff,6,0
8406d8bffffffff,11,0
8406d8dffffffff,3,0
8406d91ffffffff,14,0
8406d93ffffffff,1,0
8406d95ffffffff,6,0
8406d97ffffffff,13,0
8406d99ffffffff,5,0
